Data,Nome,WeekDay
9/7/2019,INDEPENDENCIA,sábado
10/12/2019,N.S.APARECIDA,sábado
11/2/2019,FINADOS,sábado
11/15/2019,PROC.DA REPUBLICA,sexta-feira
12/25/2019,NATAL,quarta-feira
1/1/2020,CONFRATERNIZACAO,quarta-feira
2/24/2020,SEGUNDA-FEIRA CARNAV,segunda-feira
2/25/2020,TERCA-FEIRA CARNAVAL,terça-feira
4/10/2020,SEXTA-FEIRA PAIXAO,sexta-feira
4/21/2020,TIRADENTES,terça-feira
5/1/2020,DIA DO TRABALHO,sexta-feira
6/11/2020,CORPUS CHRISTI,quinta-feira
9/7/2020,INDEPENDENCIA,segunda-feira
10/12/2020,N.S.APARECIDA,segunda-feira
11/2/2020,FINADOS,segunda-feira
11/15/2020,PROC.DA REPUBLICA,domingo
12/25/2020,NATAL,sexta-feira
1/1/2021,CONFRATERNIZACAO,sexta-feira
2/15/2021,SEGUNDA-FEIRA CARNAV,segunda-feira
2/16/2021,TERCA-FEIRA CARNAVAL,terça-feira
4/2/2021,SEXTA-FEIRA PAIXAO,sexta-feira
4/21/2021,TIRADENTES,quarta-feira
5/1/2021,DIA DO TRABALHO,sábado
6/3/2021,CORPUS CHRISTI,quinta-feira
9/7/2021,INDEPENDENCIA,terça-feira
10/12/2021,N.S.APARECIDA,terça-feira
11/2/2021,FINADOS,terça-feira
11/15/2021,PROC.DA REPUBLICA,segunda-feira
12/25/2021,NATAL,sábado
1/1/2022,CONFRATERNIZACAO,sábado
2/28/2022,SEGUNDA-FEIRA CARNAV,segunda-feira
3/1/2022,TERCA-FEIRA CARNAVAL,terça-feira
4/15/2022,SEXTA-FEIRA PAIXAO,sexta-feira
4/21/2022,TIRADENTES,quinta-feira
5/1/2022,DIA DO TRABALHO,domingo
6/16/2022,CORPUS CHRISTI,quinta-feira
9/7/2022,INDEPENDENCIA,quarta-feira
10/12/2022,N.S.APARECIDA,quarta-feira
11/2/2022,FINADOS,quarta-feira
11/15/2022,PROC.DA REPUBLICA,terça-feira
12/25/2022,NATAL,domingo
1/1/2023,CONFRATERNIZACAO,domingo
2/20/2023,SEGUNDA-FEIRA CARNAV,segunda-feira
2/21/2023,TERCA-FEIRA CARNAVAL,terça-feira
4/7/2023,SEXTA-FEIRA PAIXAO,sexta-feira
4/21/2023,TIRADENTES,sexta-feira
5/1/2023,DIA DO TRABALHO,segunda-feira
6/8/2023,CORPUS CHRISTI,quinta-feira
9/7/2023,INDEPENDENCIA,quinta-feira
10/12/2023,N.S.APARECIDA,quinta-feira
11/2/2023,FINADOS,quinta-feira
11/15/2023,PROC.DA REPUBLICA,quarta-feira
12/25/2023,NATAL,segunda-feira
1/1/2024,CONFRATERNIZACAO,segunda-feira
2/12/2024,SEGUNDA-FEIRA CARNAV,segunda-feira
2/13/2024,TERCA-FEIRA CARNAVAL,terça-feira
3/29/2024,SEXTA-FEIRA PAIXAO,sexta-feira
4/21/2024,TIRADENTES,domingo
5/1/2024,DIA DO TRABALHO,quarta-feira
5/30/2024,CORPUS CHRISTI,quinta-feira
9/7/2024,INDEPENDENCIA,sábado
10/12/2024,N.S.APARECIDA,sábado
11/2/2024,FINADOS,sábado
11/15/2024,PROC.DA REPUBLICA,sexta-feira
12/25/2024,NATAL,quarta-feira
1/1/2025,CONFRATERNIZACAO,quarta-feira
3/3/2025,SEGUNDA-FEIRA CARNAV,segunda-feira
3/4/2025,TERCA-FEIRA CARNAVAL,terça-feira
4/18/2025,SEXTA-FEIRA PAIXAO,sexta-feira
4/21/2025,TIRADENTES,segunda-feira
5/1/2025,DIA DO TRABALHO,quinta-feira
6/19/2025,CORPUS CHRISTI,quinta-feira
9/7/2025,INDEPENDENCIA,domingo
10/12/2025,N.S.APARECIDA,domingo
11/2/2025,FINADOS,domingo
11/15/2025,PROC.DA REPUBLICA,sábado
12/25/2025,NATAL,quinta-feira
1/1/2026,CONFRATERNIZACAO,quinta-feira
2/16/2026,SEGUNDA-FEIRA CARNAV,segunda-feira
2/17/2026,TERCA-FEIRA CARNAVAL,terça-feira
4/3/2026,SEXTA-FEIRA PAIXAO,sexta-feira
4/21/2026,TIRADENTES,terça-feira
5/1/2026,DIA DO TRABALHO,sexta-feira
6/4/2026,CORPUS CHRISTI,quinta-feira
9/7/2026,INDEPENDENCIA,segunda-feira
10/12/2026,N.S.APARECIDA,segunda-feira
11/2/2026,FINADOS,segunda-feira
11/15/2026,PROC.DA REPUBLICA,domingo
12/25/2026,NATAL,sexta-feira
1/1/2027,CONFRATERNIZACAO,sexta-feira
2/8/2027,SEGUNDA-FEIRA CARNAV,segunda-feira
2/9/2027,TERCA-FEIRA CARNAVAL,terça-feira
3/26/2027,SEXTA-FEIRA PAIXAO,sexta-feira
4/21/2027,TIRADENTES,quarta-feira
5/1/2027,DIA DO TRABALHO,sábado
5/27/2027,CORPUS CHRISTI,quinta-feira
